society,property_type,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,sector,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
ss the leaf,flat,1.77,7350.0,3.0,4,3+,7.0,New Property,P66846646,sector 85,2167.0,0,0,1,0,0,0,107,802.6666666666666
dlf new town heights,house,2.47,7719.0,4.0,4,3+,2.0,Moderately Old,,sector 86,2800.0,0,1,0,1,0,2,130,800.0
ansal api esencia,house,5.46,24170.0,4.0,5,3+,2.0,Relatively New,,sector 67,2259.0,1,0,1,1,0,2,103,564.75
aipl joy square,flat,0.7,10101.0,1.0,1,0,7.0,Under Construction,P70014532,sector 63,693.0,0,0,0,0,0,0,0,693.0
shyam apartment,flat,0.66,5739.0,3.0,3,2,2.0,New Property,B64688988,sector 7,1150.0,0,0,0,0,0,0,0,383.3333333333333
puri emerald bay,flat,2.6,15160.0,3.0,4,3+,5.0,Relatively New,Y69157790,sector 104,2055.0,1,1,0,0,0,0,81,571.6666666666666
ansal heights 86,flat,0.78,5735.0,2.0,2,1,8.0,New Property,O53677516,sector 86,1224.0,0,0,0,0,0,0,67,680.0
bptp visionnaire,house,4.6,17625.0,4.0,4,3+,3.0,Moderately Old,,sector 70,2610.0,1,1,1,1,0,0,96,652.5
ansal heights,house,2.75,9793.0,4.0,4,3+,3.0,Relatively New,,sector 92,5000.0,1,0,0,1,0,0,0,702.0
vatika gurgaon,flat,1.25,7812.0,4.0,4,3,12.0,Moderately Old,C61573480,sector 83,1964.0,0,1,0,0,0,0,103,400.0
international city by sobha phase 1,house,6.75,10838.0,4.0,4,3+,2.0,New Property,,sector 109,6228.0,0,1,0,1,0,0,130,1557.0
bestech park view grand spa,flat,2.29,8609.0,3.0,4,3+,10.0,Relatively New,K69736336,sector 81,2308.0,1,1,0,0,0,1,174,886.6666666666666
umang monsoon breeze,flat,0.7,5719.0,2.0,2,2,5.0,Moderately Old,D67903782,sector 78,1224.0,0,0,0,0,0,0,0,612.0
signature global synera,flat,0.38,9500.0,1.0,1,2,3.0,Relatively New,E68280528,sector 81,444.0,0,0,0,0,0,0,43,400.0
experion the heartsong,flat,1.6,7988.0,3.0,4,3+,3.0,Relatively New,F62011836,sector 108,1500.29,0,1,0,0,0,2,60,667.6666666666666
mapsko casa bella,flat,0.86,8121.0,3.0,3,3,5.0,Moderately Old,Y69685674,sector 82,1230.0,1,0,0,0,0,2,120,353.0
m3m golfestate,flat,5.4,18127.0,3.0,4,3,19.0,Moderately Old,X69762008,sector 65,2681.0,1,1,0,0,0,2,174,993.0
tulip ivory,flat,2.1,8750.0,4.0,5,3+,5.0,Moderately Old,C68469774,sector 70,2108.0,0,1,0,0,0,2,120,600.0
dlf new town heights,flat,1.25,8639.0,3.0,4,3+,0.0,Old Property,C68168492,sector 90,1608.0,0,1,0,0,0,1,31,482.3333333333333
ansals florence villa,house,3.3,19820.0,4.0,3,3+,2.0,Moderately Old,,sector 57,1665.0,1,1,1,1,0,0,151,416.25
shree vardhman victoria,flat,1.55,7949.0,3.0,5,3,8.0,Relatively New,G70133410,sector 70,1523.0,0,1,0,0,0,0,174,650.0
alpha corp gurgaonone,flat,2.2,6407.0,4.0,4,3+,15.0,Relatively New,T70162906,sector 84,3091.0,0,1,0,0,0,0,97,858.5
shapoorji pallonji joyville gurugram,flat,1.8,10638.0,3.0,3,3,1.0,Relatively New,S70041472,sector 102,1523.0,0,0,0,0,0,0,141,564.0
mapsko mount ville,flat,1.65,9091.0,3.0,3,0,12.0,Relatively New,S69041162,sector 79,1815.0,0,0,0,0,0,0,0,605.0
not applicable,house,0.65,13000.0,2.0,1,1,3.0,Moderately Old,,sector 4,500.0,0,0,0,0,0,0,7,250.0
oriental valley chs,flat,1.5,9091.0,4.0,3,3+,8.0,Relatively New,V52081048,sector 9,1833.0,0,0,0,0,0,2,8,412.5
gls avenue 51,flat,0.5,7812.0,3.0,3,1,12.0,New Property,W70135974,sector 92,711.0,0,0,0,0,0,1,95,213.33333333333331
independent,house,0.62,11273.0,3.0,1,0,2.0,Moderately Old,,sector 8,550.0,0,0,0,0,0,0,0,183.33333333333331
dlf new town heights,flat,1.88,6894.0,4.0,4,3+,20.0,Relatively New,Y69266094,sector 90,2726.0,0,1,0,1,0,0,145,681.75
conscient heritage max,flat,2.0,9307.0,3.0,4,3+,13.0,Relatively New,O69713570,sector 102,1900.0,1,1,0,0,0,2,174,716.3333333333334
ramprastha the edge towers,flat,0.71,5420.0,2.0,2,3,10.0,New Property,W38206361,sector 37,1100.0,0,0,0,0,1,0,38,655.0
ansals palam vihar,house,4.0,16667.0,4.0,4,3+,2.0,Moderately Old,,sector 2,2400.0,0,1,0,0,0,0,0,600.0
green homes,flat,1.85,7872.0,3.0,3,3,7.0,Moderately Old,E69072636,sector 52,2115.0,0,1,0,0,0,0,28,783.3333333333334
dlf new town heights,flat,1.75,5721.0,4.0,4,3+,17.0,Relatively New,H42579745,sector 90,2455.0,0,1,0,1,0,0,88,764.75
ireo victory valley,flat,3.65,13529.0,3.0,4,3+,18.0,Relatively New,B69859308,sector 67,2490.0,0,1,0,1,0,2,61,899.3333333333334
mapsko mount ville,flat,1.25,8389.0,3.0,3,3,22.0,Relatively New,B69665358,sector 79,1151.0,1,0,0,1,0,0,160,496.6666666666667
smart world gems,flat,1.01,9157.0,2.0,2,2,4.0,Under Construction,P68810298,sector 89,1226.0,1,0,0,0,0,0,38,551.5
m3m golfestate,flat,7.0,18182.0,3.0,3,2,12.0,Moderately Old,A68297026,sector 65,4278.0,0,0,1,0,0,0,60,1283.3333333333333
cghs rail vihar,flat,1.4,10769.0,4.0,3,3,3.0,Old Property,I70063068,sector 15,1444.0,0,0,0,0,0,2,81,325.0
