society,property_type,price,price_per_sqft,areaWithType,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,property_id,sector,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
paras dews,flat,1.17,6648.0,Super Built up area 1760(163.51 sq.m.)Built Up area: 1186 sq.ft. (110.18 sq.m.)Carpet area: 1130 sq.ft. (104.98 sq.m.),1760.0,3.0,4,3+,12.0,West,Relatively New,C69430468,sector 106,1760.0,1186.0,1130.0,0,1,0,0,0,0,49,586.6666666666666
antriksh heights,flat,0.84,4870.0,Super Built up area 1725(160.26 sq.m.),1725.0,3.0,3,3+,8.0,,New Property,G69088060,sector 84,1725.0,,,0,0,0,1,0,0,60,575.0
tata primanti,flat,5.0,11364.0,Super Built up area 4400(408.77 sq.m.)Built Up area: 4000 sq.ft. (371.61 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),4400.0,4.0,4,3+,2.0,North-East,New Property,V69925314,sector 72,4400.0,4000.0,3500.0,1,1,1,0,0,2,174,1100.0
independent,house,0.74,7400.0,Built Up area: 1000 (92.9 sq.m.),1000.0,3.0,3,0,2.0,,Undefined,,sector 105,,1000.0,,0,0,0,0,0,0,0,333.3333333333333
experion the heartsong,flat,2.28,8204.0,Super Built up area 2779(258.18 sq.m.),2779.0,4.0,5,3+,8.0,North,Relatively New,G69550184,sector 108,2779.0,,,0,0,0,0,0,0,101,694.75
independent,house,0.4,7619.0,Carpet area: 525 (48.77 sq.m.),525.0,2.0,2,1,1.0,,Relatively New,,sector 110,,,525.0,0,0,0,0,0,0,0,262.5
independent,house,1.25,11574.0,Plot area 120(100.34 sq.m.)Built Up area: 120 sq.yards (100.34 sq.m.),1080.0,2.0,5,1,2.0,South,New Property,,sector 6,,120.0,,0,0,0,1,0,0,0,540.0
sbtl caladium,flat,1.2,6383.0,Super Built up area 1880(174.66 sq.m.),1880.0,3.0,2,2,8.0,South,Relatively New,R68625608,sector 109,1880.0,,,0,0,0,0,0,0,151,626.6666666666666
dlf the primus,flat,1.87,10395.0,Super Built up area 1799(167.13 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),1799.0,3.0,3,3,31.0,East,Moderately Old,O68656188,sector 82,1799.0,,1538.0,0,0,0,1,0,0,38,599.6666666666666
bhim nagar society,house,0.4,2500.0,Built Up area: 1600 (148.64 sq.m.)Carpet area: 800 sq.ft. (74.32 sq.m.),1600.0,4.0,2,2,1.0,East,Undefined,,sector 6,,1600.0,800.0,0,0,0,0,0,0,0,400.0
independent,house,5.65,23870.0,Plot area 263(219.9 sq.m.),2367.0,8.0,6,3+,3.0,South-West,Moderately Old,,sector 46,,2367.0,,0,1,0,0,0,2,67,295.875
uppal southend,house,3.75,25562.0,Built Up area: 163 (136.29 sq.m.),1467.0,6.0,6,3+,3.0,East,Moderately Old,,sector 49,,163.0,,1,0,0,0,0,2,26,244.5
independent,house,3.69,23699.0,Plot area 173(144.65 sq.m.),1557.0,4.0,4,2,2.0,East,Moderately Old,,sector 31,,1557.0,,1,1,0,1,0,2,75,389.25
dlf the skycourt,flat,1.5,9740.0,Super Built up area 1929(179.21 sq.m.)Built Up area: 1780 sq.ft. (165.37 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),1540.0,3.0,3,3+,18.0,West,Relatively New,Z69657480,sector 86,1929.0,1780.0,1540.0,1,0,0,0,0,0,174,513.3333333333334
madan puri,house,0.75,12500.0,Plot area 600(55.74 sq.m.),600.0,3.0,5,3,3.0,South-East,Moderately Old,,sector 7,,600.0,,0,0,0,0,0,0,0,200.0
independent,house,1.5,14245.0,Plot area 117(97.83 sq.m.),1053.0,2.0,3,2,1.0,North,New Property,,sohna,,1053.0,,1,0,0,1,0,2,69,526.5
independent,house,2.25,6944.0,Carpet area: 360 (301.01 sq.m.),3240.0,10.0,10,2,1.0,East,Undefined,,sector 13,,,360.0,0,0,0,0,0,0,0,324.0
